IMIĘ DRUGIE,PŁEĆ,LICZBA WYSTĄPIEŃ
SŁAWA,KOBIETA,686
GRACE,KOBIETA,680
BLANDYNA,KOBIETA,679
LEONIA,KOBIETA,674
SYLWESTRA,KOBIETA,672
KSAWERA,KOBIETA,665
BERENIKA,KOBIETA,657
WANESSA,KOBIETA,651
EUFEMIA,KOBIETA,639
ANTONIA,KOBIETA,635
INES,KOBIETA,630
HELGA,KOBIETA,620
MALINA,KOBIETA,617
OLA,KOBIETA,611
WILHELMINA,KOBIETA,607
ISABELLA,KOBIETA,582
ERIKA,KOBIETA,580
LOUISE,KOBIETA,572
MIRELLA,KOBIETA,565
MARY,KOBIETA,564
MAYA,KOBIETA,559
PATRICIA,KOBIETA,556
KORNELA,KOBIETA,554
NARCYZA,KOBIETA,550
JANE,KOBIETA,545
VERONICA,KOBIETA,536
HIACYNTA,KOBIETA,533
IRMA,KOBIETA,533
CLAUDIA,KOBIETA,520
LARYSA,KOBIETA,519
JAŚMINA,KOBIETA,515
SARAH,KOBIETA,514
BERNARDETA,KOBIETA,513
KLAUDYNA,KOBIETA,505
SCHOLASTYKA,KOBIETA,505
MIRA,KOBIETA,499
BOGDANA,KOBIETA,498
MARGARET,KOBIETA,485
EMILY,KOBIETA,478
ERNESTYNA,KOBIETA,461
MARIETTA,KOBIETA,460
LINDA,KOBIETA,459
RUTH,KOBIETA,459
EDELTRAUDA,KOBIETA,458
GRACJANA,KOBIETA,455
ISABEL,KOBIETA,450
IRMGARDA,KOBIETA,450
KONSTANTYNA,KOBIETA,448
MERCEDES,KOBIETA,444
LIZA,KOBIETA,443
CHRISTINA,KOBIETA,443
HANKA,KOBIETA,441
CHRISTINE,KOBIETA,440
AURORA,KOBIETA,438
GRACJA,KOBIETA,434
AGNES,KOBIETA,434
ADAMINA,KOBIETA,433
ELZA,KOBIETA,423
NEL,KOBIETA,421
CARMEN,KOBIETA,418
CRISTINA,KOBIETA,412
RAMONA,KOBIETA,411
KAROLA,KOBIETA,411
SZARLOTA,KOBIETA,410
FRYDERYKA,KOBIETA,408
WANESA,KOBIETA,407
CHARLOTTE,KOBIETA,406
JOHANNA,KOBIETA,393
LUBOMIRA,KOBIETA,393
MARIIA,KOBIETA,391
ALOJZA,KOBIETA,391
BENIGNA,KOBIETA,386
SERAFINA,KOBIETA,386
IWONNA,KOBIETA,384
LEONA,KOBIETA,381
ALICE,KOBIETA,379
MARGARETA,KOBIETA,379
JAGNA,KOBIETA,377
LUDWINA,KOBIETA,376
VERONIKA,KOBIETA,375
DELFINA,KOBIETA,374
HERMINA,KOBIETA,373
NATALIE,KOBIETA,372
ŻAKLINA,KOBIETA,372
CAROLINE,KOBIETA,364
CATHERINE,KOBIETA,363
INGRID,KOBIETA,359
MARGOT,KOBIETA,357
KATHARINA,KOBIETA,355
ARLETTA,KOBIETA,353
IZYDORA,KOBIETA,352
SYBILLA,KOBIETA,352
DOBRAWA,KOBIETA,352
LUDOMIRA,KOBIETA,348
MODESTA,KOBIETA,345
CAROLINA,KOBIETA,345
SABRINA,KOBIETA,343
WINCENTA,KOBIETA,341
ALBERTYNA,KOBIETA,338
FATIMA,KOBIETA,334
OKSANA,KOBIETA,333
ALA,KOBIETA,326
ELA,KOBIETA,322
ROBERTA,KOBIETA,322
RADOSŁAWA,KOBIETA,322
DAJANA,KOBIETA,320
IRENE,KOBIETA,319
